Ticker,Country,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
MAR,1,0,0,1,0,0,0,0,0,0,0,0
MAS,1,0,0,0,0,0,0,0,1,0,0,0
MCD,1,0,0,1,0,0,0,0,0,0,0,0
MCHP,1,0,0,0,0,0,0,0,0,0,1,0
MCK,1,0,0,0,0,0,0,1,0,0,0,0
MCO,1,0,0,0,0,0,1,0,0,0,0,0
MDLZ,1,0,0,0,1,0,0,0,0,0,0,0
MDT,1,0,0,0,0,0,0,1,0,0,0,0
MET,1,0,0,0,0,0,1,0,0,0,0,0
META,1,0,1,0,0,0,0,0,0,0,0,0
MGM,1,0,0,1,0,0,0,0,0,0,0,0
MHK,1,0,0,1,0,0,0,0,0,0,0,0
MKC,1,0,0,0,1,0,0,0,0,0,0,0
MKTX,1,0,0,0,0,0,1,0,0,0,0,0
MLM,1,1,0,0,0,0,0,0,0,0,0,0
MMC,1,0,0,0,0,0,1,0,0,0,0,0
MMM,1,0,0,0,0,0,0,0,1,0,0,0
MNST,1,0,0,0,1,0,0,0,0,0,0,0
MO,1,0,0,0,1,0,0,0,0,0,0,0
MOH,1,0,0,0,0,0,0,1,0,0,0,0
MOS,1,1,0,0,0,0,0,0,0,0,0,0
MPC,1,0,0,0,0,1,0,0,0,0,0,0
MPWR,1,0,0,0,0,0,0,0,0,0,1,0
MRK,1,0,0,0,0,0,0,1,0,0,0,0
MS,1,0,0,0,0,0,1,0,0,0,0,0
MSCI,1,0,0,0,0,0,1,0,0,0,0,0
MSFT,1,0,0,0,0,0,0,0,0,0,1,0
MSI,1,0,0,0,0,0,0,0,0,0,1,0
MTB,1,0,0,0,0,0,1,0,0,0,0,0
MTCH,1,0,1,0,0,0,0,0,0,0,0,0
MTD,1,0,0,0,0,0,0,1,0,0,0,0
MU,1,0,0,0,0,0,0,0,0,0,1,0
NCLH,1,0,0,1,0,0,0,0,0,0,0,0
NDAQ,1,0,0,0,0,0,1,0,0,0,0,0
NDSN,1,0,0,0,0,0,0,0,1,0,0,0
NEE,1,0,0,0,0,0,0,0,0,0,0,1
NEM,1,1,0,0,0,0,0,0,0,0,0,0
NFLX,1,0,1,0,0,0,0,0,0,0,0,0
NI,1,0,0,0,0,0,0,0,0,0,0,1
NKE,1,0,0,1,0,0,0,0,0,0,0,0
NOC,1,0,0,0,0,0,0,0,1,0,0,0
NOW,1,0,0,0,0,0,0,0,0,0,1,0
NRG,1,0,0,0,0,0,0,0,0,0,0,1
NSC,1,0,0,0,0,0,0,0,1,0,0,0
NTAP,1,0,0,0,0,0,0,0,0,0,1,0
NTRS,1,0,0,0,0,0,1,0,0,0,0,0
NUE,1,1,0,0,0,0,0,0,0,0,0,0
NVDA,1,0,0,0,0,0,0,0,0,0,1,0
NVR,1,0,0,1,0,0,0,0,0,0,0,0
NWS,1,0,1,0,0,0,0,0,0,0,0,0
NWSA,1,0,1,0,0,0,0,0,0,0,0,0
NXPI,1,0,0,0,0,0,0,0,0,0,1,0
O,1,0,0,0,0,0,0,0,0,1,0,0
ODFL,1,0,0,0,0,0,0,0,1,0,0,0
OKE,1,0,0,0,0,1,0,0,0,0,0,0
OMC,1,0,1,0,0,0,0,0,0,0,0,0
ON,1,0,0,0,0,0,0,0,0,0,1,0
ORCL,1,0,0,0,0,0,0,0,0,0,1,0
ORLY,1,0,0,1,0,0,0,0,0,0,0,0
OXY,1,0,0,0,0,1,0,0,0,0,0,0
PANW,1,0,0,0,0,0,0,0,0,0,1,0
PARA,1,0,1,0,0,0,0,0,0,0,0,0
PAYC,1,0,0,0,0,0,0,0,0,0,1,0
PAYX,1,0,0,0,0,0,0,0,0,0,1,0
PCAR,1,0,0,0,0,0,0,0,1,0,0,0
PCG,1,0,0,0,0,0,0,0,0,0,0,1
PEG,1,0,0,0,0,0,0,0,0,0,0,1
PEP,1,0,0,0,1,0,0,0,0,0,0,0
PFE,1,0,0,0,0,0,0,1,0,0,0,0
PFG,1,0,0,0,0,0,1,0,0,0,0,0
PG,1,0,0,0,1,0,0,0,0,0,0,0
PGR,1,0,0,0,0,0,1,0,0,0,0,0
PH,1,0,0,0,0,0,0,0,1,0,0,0
PHM,1,0,0,1,0,0,0,0,0,0,0,0
PKG,1,0,0,1,0,0,0,0,0,0,0,0
PLD,1,0,0,0,0,0,0,0,0,1,0,0
PM,1,0,0,0,1,0,0,0,0,0,0,0
PNC,1,0,0,0,0,0,1,0,0,0,0,0
PNR,1,0,0,0,0,0,0,0,1,0,0,0
PNW,1,0,0,0,0,0,0,0,0,0,0,1
PODD,1,0,0,0,0,0,0,1,0,0,0,0
POOL,1,0,0,0,0,0,0,0,1,0,0,0
PPG,1,1,0,0,0,0,0,0,0,0,0,0
PPL,1,0,0,0,0,0,0,0,0,0,0,1
PRU,1,0,0,0,0,0,1,0,0,0,0,0
PSA,1,0,0,0,0,0,0,0,0,1,0,0
PSX,1,0,0,0,0,1,0,0,0,0,0,0
PTC,1,0,0,0,0,0,0,0,0,0,1,0
PWR,1,0,0,0,0,0,0,0,1,0,0,0
QCOM,1,0,0,0,0,0,0,0,0,0,1,0
RCL,1,0,0,1,0,0,0,0,0,0,0,0
REG,1,0,0,0,0,0,0,0,0,1,0,0
REGN,1,0,0,0,0,0,0,1,0,0,0,0
RF,1,0,0,0,0,0,1,0,0,0,0,0
RJF,1,0,0,0,0,0,1,0,0,0,0,0
RL,1,0,0,1,0,0,0,0,0,0,0,0
RMD,1,0,0,0,0,0,0,1,0,0,0,0
ROK,1,0,0,0,0,0,0,0,1,0,0,0
ROL,1,0,0,1,0,0,0,0,0,0,0,0
ROP,1,0,0,0,0,0,0,0,0,0,1,0
ROST,1,0,0,1,0,0,0,0,0,0,0,0
RSG,1,0,0,0,0,0,0,0,1,0,0,0
RTX,1,0,0,0,0,0,0,0,1,0,0,0
RVTY,1,0,0,0,0,0,0,1,0,0,0,0
SBAC,1,0,0,0,0,0,0,0,0,1,0,0
SBUX,1,0,0,1,0,0,0,0,0,0,0,0
SCHW,1,0,0,0,0,0,1,0,0,0,0,0
SHW,1,1,0,0,0,0,0,0,0,0,0,0
SJM,1,0,0,0,1,0,0,0,0,0,0,0
SLB,1,0,0,0,0,1,0,0,0,0,0,0
SMCI,1,0,0,0,0,0,0,0,0,0,1,0
SNA,1,0,0,0,0,0,0,0,1,0,0,0
SNPS,1,0,0,0,0,0,0,0,0,0,1,0
SO,1,0,0,0,0,0,0,0,0,0,0,1
SPG,1,0,0,0,0,0,0,0,0,1,0,0
SPGI,1,0,0,0,0,0,1,0,0,0,0,0
SRE,1,0,0,0,0,0,0,0,0,0,0,1
STE,1,0,0,0,0,0,0,1,0,0,0,0
